"In what city would you find the Eiffel Tower?"|"c"|"a. New York"|"b. London"|"c. Paris"|"d. Amsterdam"
"What famous document begins: 'When in the course of human events...'?"|"b"|"a. The US Constitution"|"b. The US Declaration of Independence"|"c. Magna Carta"|"d. The Communist Manifesto"
"Who was the last president of the Soviet Union?"|"a"|"a. Mikail Gorbachev"|"b. Nikita Khrushchev"|"c. Vladimir Lenin"|"d. Joseph Stalin"
"According to the nursery rhyme, what were Jack and Jill fetching?"|"b"|"a. Milk"|"b. Water"|"c. Orange Juice"|"d. Apple Juice"
"Which fruit inspired Sir Isaac Newton?"|"d"|"a. Orange"|"b. Kiwi"|"c. Banana"|"d. Apple"
"What 1975 blockbuster sees Roy Scheider utter: 'We need a bigger boat'?"|"a"|"a. Jaws"|"b. Apocalypse Now"|"c. Titanic"|"d. Das Boot"
"What movie has Bob Hoskins seething: 'A toon killed my brother'?"|"c"|"a. Space Jam"|"b. Toy Story"|"c. Who Framed Roger Rabbit?"|"d. Cool World"
"What kind of animal is the emblem of the US Democratic political party?"|"a"|"a. Donkey"|"b. Elephant"|"c. Wolverine"|"d. Honey Badger"
"What breakfast cereal was Sonny the Cuckoo Bird 'cuckoo for'?"|"a"|"a. Cocoa Puffs"|"b. Count Chocula"|"c. Coco Pebbles"|"d. Kix"
"John Davidson Rockefeller got rich in what industry?"|"b"|"a. Coal"|"b. Oil"|"c. Steel"|"d. Logging"
